Model,AUC_Full,AUC_Important,Difference
GradientBoosting,0.9834341435178802,0.905064697368535,-0.07836944614934516
CatBoost,0.9929702065656753,0.9027955818429788,-0.09017462472269644
LightGBM,0.992224733831961,0.8993710295402598,-0.09285370429170114
AdaBoost,0.9089752448425551,0.8943699146796804,-0.014605330162874686
XGBoost,0.9921965012024473,0.8884337088667003,-0.10376279233574703
RandomForest,0.9842438290694184,0.8836110504875578,-0.1006327785818606
ExtraTrees,0.9826432359478323,0.8675521995056794,-0.1150910364421529
LogisticRegression,0.8330503504654181,0.8121462550007866,-0.020904095464631456
GaussianNB,0.7581695381220599,0.7572930134615804,-0.0008765246604794941
DecisionTree,0.9329975357510444,0.7432407802080601,-0.18975675554298432
KNeighbors,0.5834186221373755,0.584254701914645,0.0008360797772695161
